"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,";"buzzardLabel";10;"";;;
2;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
3;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
4;"Ref**";"Version1.0.0.";1;"Val**";;;
5;"G***";"Logo-Front-Soldered-6mm";1;"LOGO";;;
6;"U2";"TXB0104QPWRQ1";1;"TXB0104QPWRQ1";;;
7;"U1";"SOT-23-5";1;"SE5218";;;
8;"R1";"0603R";1;"10k";;;
9;"K2";"HEADER_MALE_6X1";1;"HEADER_MALE_6X1";;;
10;"K1";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
11;"JP2";"SMD_JUMPER";1;"SMD_JUMPER";;;
12;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
13;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
14;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
15;"C7,C6";"0603C";2;"0.1uF";;;
16;"C5,C4";"0603C";2;"2.2uF";;;
17;"C3,C2";"0603C";2;"100n";;;
18;"C1";"0603C";1;"2u2";;;
